2025-12-28 00:58:09,202 | INFO | test_cart_flow | ===== Test started: Add products and verify cart =====
2025-12-28 00:58:42,165 | INFO | CartPage | Element clicked successfully
2025-12-28 00:58:42,168 | INFO | test_invoice | Navigating to Signup / Login page
2025-12-28 00:58:42,171 | INFO | CartPage | Clicking Register / Login link from cart page
2025-12-28 00:58:42,178 | INFO | CartPage | Clicking on element: ('xpath', "//u[text()='Register / Login']")
2025-12-28 00:58:45,027 | INFO | CartPage | Element clicked successfully
2025-12-28 00:58:45,044 | INFO | test_invoice | Signup / Login page verified via URL
2025-12-28 00:58:45,046 | INFO | test_invoice | Registering a new user
2025-12-28 00:58:45,047 | INFO | SignupLoginPage | Starting signup with name='User_rjumxy', email='user_rjumxy@testmail.com'
2025-12-28 00:58:45,538 | INFO | SignupLoginPage | Signup name and email entered
2025-12-28 00:58:46,622 | INFO | SignupLoginPage | Signup button clicked
2025-12-28 00:58:46,622 | INFO | test_invoice | Filling account details and creating account
2025-12-28 00:58:46,625 | INFO | AccountCreationPage | Filling account details for new user
2025-12-28 00:58:46,730 | INFO | AccountCreationPage | Password entered (masked)
2025-12-28 00:58:48,109 | INFO | AccountCreationPage | Personal and address details filled successfully (First Name, Last Name, Address, City, State, Zipcode, Mobile)
2025-12-28 00:58:48,113 | INFO | AccountCreationPage | Initiating account creation
2025-12-28 00:58:48,139 | INFO | AccountCreationPage | Create Account button scrolled into view
2025-12-28 00:58:51,530 | INFO | AccountCreationPage | Create Account button clicked
2025-12-28 00:58:51,537 | INFO | AccountCreationPage | Verifying account creation success message
2025-12-28 00:58:51,577 | INFO | AccountCreationPage | Account successfully created
2025-12-28 00:58:53,455 | INFO | AccountCreationPage | Clicked Continue after account creation
2025-12-28 00:58:53,457 | INFO | test_invoice | Verifying logged-in state
2025-12-28 00:58:53,460 | INFO | SignupLoginPage | Verifying user login status
2025-12-28 00:58:53,497 | INFO | SignupLoginPage | User logged in successfully
2025-12-28 00:58:53,498 | INFO | test_invoice | Navigating back to Cart and proceeding to checkout
2025-12-28 00:58:53,501 | INFO | CartPage | Clicking on Cart button
2025-12-28 00:58:53,502 | INFO | CartPage | Clicking on element: ('xpath', "//a[@href='/view_cart']")
2025-12-28 00:58:56,627 | INFO | CartPage | Element clicked successfully
2025-12-28 00:58:56,628 | INFO | CartPage | Clicking Proceed To Checkout button
2025-12-28 00:58:56,630 | INFO | CartPage | Clicking on element: ('xpath', "//a[text()='Proceed To Checkout']")
2025-12-28 00:58:58,199 | INFO | CartPage | Element clicked successfully
2025-12-28 00:58:58,202 | INFO | test_invoice | Verifying address details and order review section
2025-12-28 00:58:58,205 | INFO | CheckoutPage | Verifying Address Details section is visible on checkout page
2025-12-28 00:58:58,254 | INFO | CheckoutPage | Address Details section verified successfully
2025-12-28 00:58:58,259 | INFO | test_invoice | Entering order comment and placing order
2025-12-28 00:58:58,261 | INFO | CheckoutPage | Entering comment in order comment text area
2025-12-28 00:58:58,699 | INFO | CheckoutPage | Order comment entered successfully
2025-12-28 00:58:58,702 | INFO | CheckoutPage | Clicking on Place Order button
2025-12-28 00:59:00,645 | INFO | CheckoutPage | Place Order button clicked successfully
2025-12-28 00:59:00,651 | INFO | test_invoice | Entering payment details and confirming order
2025-12-28 00:59:00,654 | INFO | PaymentPage | Entering payment details (card data masked)
2025-12-28 00:59:01,705 | INFO | PaymentPage | Payment details entered successfully
2025-12-28 00:59:01,750 | INFO | PaymentPage | Attempting to confirm order
2025-12-28 00:59:01,774 | INFO | PaymentPage | Pay & Confirm button scrolled into view
2025-12-28 00:59:05,679 | INFO | PaymentPage | Order confirmed using JavaScript click
2025-12-28 00:59:05,682 | INFO | test_invoice | Verifying successful order placement
2025-12-28 00:59:05,685 | INFO | PaymentPage | Verifying order success confirmation message
2025-12-28 00:59:06,378 | INFO | PaymentPage | Order success message verified successfully
2025-12-28 00:59:06,381 | INFO | test_invoice | Downloading invoice and verifying download
2025-12-28 00:59:06,384 | INFO | PaymentPage | Clicking Download Invoice button
2025-12-28 00:59:07,107 | INFO | PaymentPage | Download Invoice button clicked
2025-12-28 00:59:07,112 | INFO | PaymentPage | Verifying invoice download in Downloads folder (timeout=10s)
2025-12-28 00:59:07,188 | INFO | PaymentPage | Invoice file detected successfully
2025-12-28 00:59:07,191 | INFO | test_invoice | Deleting user account and verifying deletion
2025-12-28 00:59:07,195 | INFO | PaymentPage | Initiating account deletion
2025-12-28 00:59:11,302 | INFO | PaymentPage | Delete Account button clicked
2025-12-28 00:59:11,305 | INFO | PaymentPage | Verifying account deletion confirmation
2025-12-28 00:59:11,358 | INFO | PaymentPage | Account deleted successfully
2025-12-28 00:59:11,360 | INFO | test_invoice | ===== Test completed successfully: Download invoice after purchase =====
2025-12-28 00:59:11,395 | INFO | test_search_cart_after_login | ===== Test started: Search products and verify cart after login =====
2025-12-28 00:59:11,396 | INFO | test_search_cart_after_login | Product to search: Tshirt
2025-12-28 00:59:11,397 | INFO | test_search_cart_after_login | Generated random user for test: user_esllzr@testmail.com
2025-12-28 00:59:11,399 | INFO | test_search_cart_after_login | Launching AutomationExercise application
2025-12-28 00:59:11,400 | INFO | HomePage | Navigating to AutomationExercise home page
2025-12-28 00:59:13,114 | INFO | HomePage | Home page opened successfully
2025-12-28 00:59:13,118 | INFO | HomePage | Verifying home page visibility using page title
2025-12-28 00:59:13,143 | INFO | HomePage | Home page title verified: Automation Exercise
2025-12-28 00:59:13,144 | INFO | test_search_cart_after_login | Navigating to Products page
2025-12-28 00:59:13,147 | INFO | HomePage | Clicking on Products button from home page
2025-12-28 00:59:13,148 | INFO | HomePage | Clicking on element: ('xpath', "//a[@href='/products']")
2025-12-28 00:59:15,313 | INFO | HomePage | Element clicked successfully
2025-12-28 00:59:15,315 | INFO | test_search_cart_after_login | Searching for product: Tshirt
2025-12-28 00:59:15,322 | INFO | ProductsPage | Searching for product with name: Tshirt
2025-12-28 00:59:17,609 | INFO | ProductsPage | Search submitted successfully
2025-12-28 00:59:17,613 | INFO | test_search_cart_after_login | Verifying searched products visibility
2025-12-28 00:59:17,615 | INFO | ProductsPage | Verifying 'Searched Products' section is visible
2025-12-28 00:59:17,693 | INFO | ProductsPage | Number of searched products found: 6
2025-12-28 00:59:17,695 | INFO | test_search_cart_after_login | Adding all searched products to cart
2025-12-28 00:59:17,696 | INFO | ProductsPage | Adding all searched products to cart
2025-12-28 00:59:17,712 | INFO | ProductsPage | Total searched products to add: 6
2025-12-28 00:59:17,715 | INFO | ProductsPage | Adding product 1 of 6
2025-12-28 00:59:17,845 | INFO | ProductsPage | Clicking Continue Shopping
2025-12-28 00:59:18,258 | INFO | ProductsPage | Adding product 2 of 6
2025-12-28 00:59:18,291 | INFO | ProductsPage | Clicking Continue Shopping
2025-12-28 00:59:18,715 | INFO | ProductsPage | Adding product 3 of 6
2025-12-28 00:59:18,861 | INFO | ProductsPage | Clicking Continue Shopping
2025-12-28 00:59:19,240 | INFO | ProductsPage | Adding product 4 of 6
2025-12-28 00:59:19,274 | INFO | ProductsPage | Clicking Continue Shopping
2025-12-28 00:59:19,690 | INFO | ProductsPage | Adding product 5 of 6
2025-12-28 00:59:19,746 | INFO | ProductsPage | Clicking Continue Shopping
2025-12-28 00:59:20,143 | INFO | ProductsPage | Adding product 6 of 6
2025-12-28 00:59:20,180 | INFO | ProductsPage | All searched products added to cart successfully
2025-12-28 00:59:20,182 | INFO | test_search_cart_after_login | Verifying products in cart before login
2025-12-28 00:59:20,186 | INFO | CartPage | Clicking on Cart button
2025-12-28 00:59:20,188 | INFO | CartPage | Clicking on element: ('xpath', "//a[@href='/view_cart']")
2025-12-28 00:59:21,686 | INFO | CartPage | Element clicked successfully
2025-12-28 00:59:21,689 | INFO | CartPage | Verifying Cart page title is visible
2025-12-28 00:59:21,712 | INFO | CartPage | Cart page displayed successfully
2025-12-28 00:59:21,723 | INFO | CartPage | Number of products present in cart: 6
2025-12-28 00:59:21,726 | INFO | test_search_cart_after_login | Registering a new user from cart page
2025-12-28 00:59:21,726 | INFO | CartPage | Navigating to Signup / Login page from cart
2025-12-28 00:59:23,178 | INFO | CartPage | Signup / Login page navigation successful
2025-12-28 00:59:23,180 | INFO | SignupLoginPage | Starting signup with name='User_esllzr', email='user_esllzr@testmail.com'
2025-12-28 00:59:23,609 | INFO | SignupLoginPage | Signup name and email entered
2025-12-28 00:59:25,060 | INFO | SignupLoginPage | Signup button clicked
2025-12-28 00:59:25,062 | INFO | AccountCreationPage | Filling account details for new user
2025-12-28 00:59:26,079 | INFO | AccountCreationPage | Password entered (masked)
2025-12-28 00:59:27,032 | INFO | AccountCreationPage | Personal and address details filled successfully (First Name, Last Name, Address, City, State, Zipcode, Mobile)
2025-12-28 00:59:27,040 | INFO | AccountCreationPage | Initiating account creation
2025-12-28 00:59:27,076 | INFO | AccountCreationPage | Create Account button scrolled into view
2025-12-28 00:59:29,108 | INFO | AccountCreationPage | Create Account button clicked
2025-12-28 00:59:29,111 | INFO | AccountCreationPage | Verifying account creation success message
2025-12-28 00:59:29,157 | INFO | AccountCreationPage | Account successfully created
2025-12-28 00:59:30,986 | INFO | AccountCreationPage | Clicked Continue after account creation
2025-12-28 00:59:30,988 | INFO | test_search_cart_after_login | Verifying user is logged in
2025-12-28 00:59:30,990 | INFO | SignupLoginPage | Verifying user login status
2025-12-28 00:59:31,207 | INFO | SignupLoginPage | User logged in successfully
2025-12-28 00:59:31,208 | INFO | test_search_cart_after_login | Logging out from application
2025-12-28 00:59:31,210 | INFO | HomePage | Waiting for user to be logged in (Logged in as visible)
2025-12-28 00:59:31,246 | INFO | HomePage | Clicking on Logout button
2025-12-28 00:59:32,585 | INFO | HomePage | Logout action performed successfully
2025-12-28 00:59:32,588 | INFO | test_search_cart_after_login | Logging in with existing user credentials
2025-12-28 00:59:32,590 | INFO | SignupLoginPage | Attempting login with email='user_esllzr@testmail.com'
2025-12-28 00:59:33,262 | INFO | SignupLoginPage | Login credentials entered (password masked)
2025-12-28 00:59:33,420 | INFO | SignupLoginPage | Login button clicked
2025-12-28 00:59:33,421 | INFO | test_search_cart_after_login | Verifying cart contents after login
2025-12-28 00:59:33,423 | INFO | CartPage | Clicking on Cart button
2025-12-28 00:59:33,424 | INFO | CartPage | Clicking on element: ('xpath', "//a[@href='/view_cart']")
2025-12-28 00:59:37,496 | INFO | CartPage | Element clicked successfully
2025-12-28 00:59:37,540 | INFO | CartPage | Number of products present in cart: 6
2025-12-28 00:59:37,542 | INFO | test_search_cart_after_login | ===== Test completed successfully: Search products and verify cart after login =====
